asset_id,source_id,relative_path,media_type,byte_size,sha256,format_hint
5a5a04079723fa6c99624a52b745f6e43786de58712604c9789500ed45c25382,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_HVSR/20110523224510.Q288.txt,ambient_noise_waveform,10276835,e6f9100902aa9164479ea80c365a34742886f4095f2c0db263e4295008e6a2f8,ascii_3c
e47a6e45d49141c707fdb780429d5eaf181e02c41c954f16601e793619823262,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_HVSR/20110523224704.Q289.txt,ambient_noise_waveform,9125888,76690807be23b2e222387571e8d73b6dfaec1eb72aad1d8e3d4e557854254ae6,ascii_3c
eacdba898b2a99c4d6f8c848736b9ac4ba98c650232d7bddfa4a21722eb242cc,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_HVSR/20110523225402.Q292.txt,ambient_noise_waveform,6788246,ee9eef347ba2d416250140322cf8583549226b32be2c750cb32198a8a8041f41,ascii_3c
7feba1c1fae3112ac87189b34a43ce82468574965d624f60a67410134376bd42,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_MASWSR/1001.dat,surface_wave_survey,1600640,8f048a058533df615fa519afca37d8d9c21577ee2265a5a1fa42c82a5c1363d4,seg2
15b2b6860490ca448d6fd4263fe1413cfb43b1cda87e99390eba3366c6e2e25d,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_MASWSR/1002.dat,surface_wave_survey,1600640,87d43b4ba5d9e450519f0bd52ee33237e3afa49bf75b26c474a8b62a246e02be,seg2
42435ed931e2ebcec60166fb387a93c2cf4e501fedcc7ff91118a4322bce146d,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_MASWSR/1003.dat,surface_wave_survey,1600640,61dfd73e168954616beeba474d8a3794de413f008779ec03a99d26050774dfc6,seg2
d0370717a43c37f7611b2a8fb39e469c0dfe25a76decdd079f68ca01cbb0013f,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_MASWSR/1004.dat,surface_wave_survey,1600484,62f08b6b62ae93f260195236f72303cc8379edfc5fd862d29e7767b3b8b8c07f,seg2
f50ea3c1af1dad9db2169a4409b0d4c49ab7e9832620c47650316cae802a8d65,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_MASWSR/1005.dat,surface_wave_survey,1600484,8532d615225b1a9b35d25b68063002c3bd21de64acaeecd7b9fac9fb302bae53,seg2
033a8b40e8aa268f5428d2bee17721196d0025cef9e3f97863ab43ac2699e27c,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_MASWSR/1006.dat,surface_wave_survey,1600640,803910c0c6227cc474829162e30614c1cf05d0de8419a19c8feeec3d8877ec6c,seg2
ad0894bfe3608650231fdaf410bab164ff92b6bb46f88f23a252028a93cc309b,usgs_arra_2013,CI.CLC/CI.CLC/CI_CLC_Raw_Data/CLC_MASWSR/1007.dat,surface_wave_survey,1600484,8af972e6c29102161898b9d57bac915a9d890d7437a19fb478df843fb84285a2,seg2
